msa,Population
"Roanoke Rapids, NC Micro Area",66300
"Rochelle, IL Micro Area",51672
"Rochester, MN Metro Area",225911
"Rochester, NY Metro Area",1086859
"Rockford, IL Metro Area",338050
"Rockingham, NC Micro Area",43149
"Rockport, TX Micro Area",24048
"Rock Springs, WY Micro Area",42079
"Rocky Mount, NC Metro Area",144082
"Rolla, MO Micro Area",44843
"Rome, GA Metro Area",98541
"Roseburg, OR Micro Area",111322
"Roswell, NM Micro Area",64701
"Ruidoso, NM Micro Area",20222
"Russellville, AR Micro Area",83817
"Ruston, LA Micro Area",48323
"Rutland, VT Micro Area",60585
"Sacramento-Roseville-Folsom, CA Metro Area",2394673
"Safford, AZ Micro Area",38453
"Saginaw, MI Metro Area",189821
"St. Cloud, MN Metro Area",199922
"St. George, UT Metro Area",183297
"St. Joseph, MO-KS Metro Area",121952
"St. Louis, MO-IL Metro Area",2813523
"St. Marys, GA Micro Area",55105
"St. Marys, PA Micro Area",30886
"Salem, OH Micro Area",101723
"Salem, OR Metro Area",433415
"Salina, KS Micro Area",59928
"Salinas, CA Metro Area",437609
"Salisbury, MD-DE Metro Area",421982
"Salt Lake City, UT Metro Area",1254675
"San Angelo, TX Metro Area",122229
"San Antonio-New Braunfels, TX Metro Area",2570862
"San Diego-Chula Vista-Carlsbad, CA Metro Area",3289701
"Sandpoint, ID Micro Area",47976
"Sandusky, OH Micro Area",75299
"Sanford, NC Micro Area",63560
"San Francisco-Oakland-Berkeley, CA Metro Area",4692242
"San Germán, PR Metro Area",124504
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1981584
"San Juan-Bayamón-Caguas, PR Metro Area",2073546
"San Luis Obispo-Paso Robles, CA Metro Area",281712
"Santa Cruz-Watsonville, CA Metro Area",268571
"Santa Fe, NM Metro Area",154481
"Santa Isabel, PR Micro Area",20207
"Santa Maria-Santa Barbara, CA Metro Area",445213
"Santa Rosa-Petaluma, CA Metro Area",488436
"Sault Ste. Marie, MI Micro Area",36670
"Savannah, GA Metro Area",406575
"Sayre, PA Micro Area",60159
"Scottsbluff, NE Micro Area",37880
"Scottsboro, AL Micro Area",52618
"Scottsburg, IN Micro Area",24403
"Scranton--Wilkes-Barre, PA Metro Area",567287
"Searcy, AR Micro Area",77118
"Seattle-Tacoma-Bellevue, WA Metro Area",4001701
"Sebastian-Vero Beach, FL Metro Area",160986
"Sebring-Avon Park, FL Metro Area",102339
"Sedalia, MO Micro Area",43059
"Selinsgrove, PA Micro Area",39797
"Selma, AL Micro Area",38326
"Seneca, SC Micro Area",78775
"Seneca Falls, NY Micro Area",33651
"Sevierville, TN Micro Area",98455
"Seymour, IN Micro Area",46212
"Shawano, WI Micro Area",45127
"Shawnee, OK Micro Area",72734
"Sheboygan, WI Metro Area",117741
"Shelby, NC Micro Area",99527
"Shelbyville, TN Micro Area",50533
"Shelton, WA Micro Area",66053
"Sheridan, WY Micro Area",31176
"Sherman-Denison, TX Metro Area",137008
"Show Low, AZ Micro Area",107110
"Shreveport-Bossier City, LA Metro Area",391957
"Sidney, OH Micro Area",48145
"Sierra Vista-Douglas, AZ Metro Area",125504
"Sikeston, MO Micro Area",38055
"Silver City, NM Micro Area",28006
"Sioux City, IA-NE-SD Metro Area",149113
"Sioux Falls, SD Metro Area",277944
"Snyder, TX Micro Area",16883
"Somerset, KY Micro Area",65145
"Somerset, PA Micro Area",73802
"Sonora, CA Micro Area",54993
"South Bend-Mishawaka, IN-MI Metro Area",323992
"Spartanburg, SC Metro Area",330119
"Spearfish, SD Micro Area",26047
"Spencer, IA Micro Area",16423
"Spirit Lake, IA Micro Area",17692
"Spokane-Spokane Valley, WA Metro Area",585485
"Springfield, IL Metro Area",208406
"Springfield, MA Metro Area",689486
"Springfield, MO Metro Area",477056
"Springfield, OH Metro Area",135877
"Starkville, MS Micro Area",61330
"State College, PA Metro Area",158665
"Statesboro, GA Micro Area",79829
"Staunton, VA Metro Area",125355
"Steamboat Springs, CO Micro Area",24944
"Stephenville, TX Micro Area",42788
"Sterling, CO Micro Area",21302
"Sterling, IL Micro Area",55569
"Stevens Point, WI Micro Area",70281
"Stillwater, OK Micro Area",82058
"Stockton, CA Metro Area",779445
"Storm Lake, IA Micro Area",20687
"Sturgis, MI Micro Area",60887
"Sulphur Springs, TX Micro Area",37008
"Summerville, GA Micro Area",24902
"Sumter, SC Metro Area",136362
"Sunbury, PA Micro Area",91340
"Susanville, CA Micro Area",31873
"Sweetwater, TX Micro Area",14657
"Syracuse, NY Metro Area",658694
"Tahlequah, OK Micro Area",47412
"Talladega-Sylacauga, AL Micro Area",81105
"Tallahassee, FL Metro Area",386064
"Tampa-St. Petersburg-Clearwater, FL Metro Area",3194310
"Taos, NM Micro Area",34475
"Taylorville, IL Micro Area",33893
"Terre Haute, IN Metro Area",185357
"Texarkana, TX-AR Metro Area",147453
"The Dalles, OR Micro Area",26639
"The Villages, FL Metro Area",131832
"Thomaston, GA Micro Area",27638
"Thomasville, GA Micro Area",45665
"Tiffin, OH Micro Area",55062
"Tifton, GA Micro Area",41247
"Toccoa, GA Micro Area",26732
"Toledo, OH Metro Area",644547
"Topeka, KS Metro Area",232995
"Torrington, CT Micro Area",185765
"Traverse City, MI Micro Area",153733
"Trenton-Princeton, NJ Metro Area",383732
"Troy, AL Micro Area",32997
"Truckee-Grass Valley, CA Micro Area",102322
"Tucson, AZ Metro Area",1042393
"Tullahoma-Manchester, TN Micro Area",107618
"Tulsa, OK Metro Area",1017724
"Tupelo, MS Micro Area",163378
"Tuscaloosa, AL Metro Area",272931
"Twin Falls, ID Metro Area",115066
"Tyler, TX Metro Area",234667
"Ukiah, CA Micro Area",91145
"Union, SC Micro Area",27158
"Union City, TN Micro Area",30670
"Urbana, OH Micro Area",38715
"Urban Honolulu, HI Metro Area",1010100
"Utica-Rome, NY Metro Area",291348
"Uvalde, TX Micro Area",24833
"Valdosta, GA Metro Area",148203
"Vallejo, CA Metro Area",450995
"Van Wert, OH Micro Area",28833
"Vermillion, SD Micro Area",14953
"Vernal, UT Micro Area",35951
"Vernon, TX Micro Area",12795
"Vicksburg, MS Micro Area",44341
"Victoria, TX Metro Area",98301
"Vidalia, GA Micro Area",35633
"Vincennes, IN Micro Area",36148
"Vineland-Bridgeton, NJ Metro Area",153588
"Vineyard Haven, MA Micro Area",20543
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1798025
"Visalia, CA Metro Area",473446
"Wabash, IN Micro Area",31032
"Waco, TX Metro Area",278103
"Wahpeton, ND-MN Micro Area",23002
"Walla Walla, WA Metro Area",62150
"Wapakoneta, OH Micro Area",46263
"Warner Robins, GA Metro Area",192171
"Warren, PA Micro Area",38492
"Warrensburg, MO Micro Area",54025
"Warsaw, IN Micro Area",80442
"Washington, IN Micro Area",33337
"Washington, NC Micro Area",44711
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6346083
"Washington Court House, OH Micro Area",28901
"Waterloo-Cedar Falls, IA Metro Area",168404
"Watertown, SD Micro Area",34598
"Watertown-Fort Atkinson, WI Micro Area",85932
"Watertown-Fort Drum, NY Metro Area",117445
"Wauchula, FL Micro Area",25528
"Wausau-Weston, WI Metro Area",166222
"Waycross, GA Micro Area",55739
"Weatherford, OK Micro Area",28391
"Weirton-Steubenville, WV-OH Metro Area",116536
"Wenatchee, WA Metro Area",122265
"West Plains, MO Micro Area",39960
"West Point, MS Micro Area",18598
"Wheeling, WV-OH Metro Area",139287
"Whitewater, WI Micro Area",105127
"Wichita, KS Metro Area",646794
"Wichita Falls, TX Metro Area",148523
"Williamsport, PA Metro Area",114022
"Williston, ND Micro Area",39076
"Willmar, MN Micro Area",43686
"Wilmington, NC Metro Area",289726
"Wilmington, OH Micro Area",42077
"Wilson, NC Micro Area",78667
"Winchester, VA-WV Metro Area",143385
"Winfield, KS Micro Area",34661
"Winnemucca, NV Micro Area",17266
"Winona, MN Micro Area",49792
"Winston-Salem, NC Metro Area",678243
"Wisconsin Rapids-Marshfield, WI Micro Area",74138
"Woodward, OK Micro Area",24166
"Wooster, OH Micro Area",116680
"Worcester, MA-CT Metro Area",975551
"Worthington, MN Micro Area",22194
"Yakima, WA Metro Area",256143
"Yankton, SD Micro Area",23311
"Yauco, PR Metro Area",85638
"York-Hanover, PA Metro Area",457051
"Youngstown-Warren-Boardman, OH-PA Metro Area",540328
"Yuba City, CA Metro Area",180806
"Yuma, AZ Metro Area",204374
"Zanesville, OH Micro Area",86393
"Zapata, TX Micro Area",13896
