msa,Total_Homes,Occupied_Homes,Vacant_Homes,Vacant_Homes_Percent
"Bloomington, IN Metro Area",73401,66913,6488,8.839116633288373
"Bloomsburg-Berwick, PA Metro Area",37737,33899,3838,10.170389803111005
"Bluefield, WV-VA Micro Area",52335,44827,7508,14.346039935033916
"Bluffton, IN Micro Area",11938,11134,804,6.734796448316301
"Blytheville, AR Micro Area",19075,16036,3039,15.931847968545215
"Bogalusa, LA Micro Area",21341,17944,3397,15.917717070427814
"Boise City, ID Metro Area",295639,280112,15527,5.252013435304543
"Bonham, TX Micro Area",14640,12857,1783,12.17896174863388
"Boone, NC Micro Area",32637,21413,11224,34.390415785764624
"Borger, TX Micro Area",10166,8171,1995,19.62423765492819
"Boston-Cambridge-Newton, MA-NH Metro Area",2032387,1912456,119931,5.900992281489697
"Boulder, CO Metro Area",140848,132551,8297,5.890747472452573
"Bowling Green, KY Metro Area",77863,69245,8618,11.06815817525654
"Bozeman, MT Micro Area",52835,47117,5718,10.82237153402101
"Bradford, PA Micro Area",19416,16470,2946,15.173053152039556
"Brainerd, MN Micro Area",65440,40486,24954,38.132640586797066
"Branson, MO Micro Area",29391,22486,6905,23.493586472049266
"Breckenridge, CO Micro Area",31342,12939,18403,58.71673792355306
"Bremerton-Silverdale-Port Orchard, WA Metro Area",113248,105803,7445,6.574067533201469
"Brenham, TX Micro Area",16838,13906,2932,17.41299441738924
"Brevard, NC Micro Area",19025,14385,4640,24.388961892247043
"Bridgeport-Stamford-Norwalk, CT Metro Area",378479,354084,24395,6.445535947833301
"Brookhaven, MS Micro Area",15744,13939,1805,11.464684959349594
"Brookings, OR Micro Area",13018,10953,2065,15.86265171301275
"Brookings, SD Micro Area",14849,13120,1729,11.643881742878309
"Brownsville, TN Micro Area",8240,7424,816,9.902912621359224
"Brownsville-Harlingen, TX Metro Area",154905,132507,22398,14.459184661566768
"Brownwood, TX Micro Area",18897,15074,3823,20.23072445361698
"Brunswick, GA Metro Area",56914,45935,10979,19.290508486488385
"Bucyrus-Galion, OH Micro Area",19865,18069,1796,9.04102693178958
"Buffalo-Cheektowaga, NY Metro Area",538903,495456,43447,8.062118785755507
"Burley, ID Micro Area",17056,15870,1186,6.953564727954972
"Burlington, IA-IL Micro Area",22139,19585,2554,11.536203080536609
"Burlington, NC Metro Area",73385,67925,5460,7.440212577502214
"Burlington-South Burlington, VT Metro Area",100992,92140,8852,8.765050697084918
"Butte-Silver Bow, MT Micro Area",17247,15450,1797,10.419203339711254
"Cadillac, MI Micro Area",25033,19533,5500,21.970998282267406
"Calhoun, GA Micro Area",22736,21210,1526,6.711822660098522
"California-Lexington Park, MD Metro Area",45560,41845,3715,8.154082528533802
"Cambridge, MD Micro Area",16383,13721,2662,16.248550326558018
"Cambridge, OH Micro Area",19009,16100,2909,15.303277394918197
"Camden, AR Micro Area",14281,11963,2318,16.231356347594705
"Campbellsville, KY Micro Area",16469,14777,1692,10.273847835326979
"Cañon City, CO Micro Area",20243,17871,2372,11.717630785950698
"Canton-Massillon, OH Metro Area",180194,166457,13737,7.62345028136342
"Cape Coral-Fort Myers, FL Metro Area",416332,318303,98029,23.545872044426083
"Cape Girardeau, MO-IL Metro Area",43679,39105,4574,10.471851461800865
"Carbondale-Marion, IL Metro Area",65087,55915,9172,14.091907754236638
"Carlsbad-Artesia, NM Micro Area",26277,22751,3526,13.418578985424515
"Carroll, IA Micro Area",9490,8764,726,7.650158061116966
"Carson City, NV Metro Area",24564,23419,1145,4.661292949031102
"Casper, WY Metro Area",36808,32699,4109,11.163334057813518
"Cedar City, UT Micro Area",21752,18731,3021,13.888378080176537
"Cedar Rapids, IA Metro Area",121177,113146,8031,6.627495316768034
"Cedartown, GA Micro Area",17274,15999,1275,7.381035081625564
"Celina, OH Micro Area",17888,16288,1600,8.94454382826476
"Central City, KY Micro Area",13491,11955,1536,11.385368023126528
"Centralia, IL Micro Area",17358,15620,1738,10.012674271229404
"Centralia, WA Micro Area",35412,31693,3719,10.502089687111713
"Chambersburg-Waynesboro, PA Metro Area",66368,62067,4301,6.480532786885246
"Champaign-Urbana, IL Metro Area",100435,91237,9198,9.158161995320356
"Charleston, WV Metro Area",126770,111213,15557,12.271830874812654
"Charleston-Mattoon, IL Micro Area",27467,24137,3330,12.123639276222375
"Charleston-North Charleston, SC Metro Area",360115,319353,40762,11.319161934382073
"Charlotte-Concord-Gastonia, NC-SC Metro Area",1108163,1034018,74145,6.69080270682201
"Charlottesville, VA Metro Area",98166,87743,10423,10.61772915265978
"Chattanooga, TN-GA Metro Area",247266,225594,21672,8.76465021474849
"Cheyenne, WY Metro Area",44181,41433,2748,6.219868269165478
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",3943945,3672824,271121,6.87436057044406
"Chico, CA Metro Area",90133,83268,6865,7.6165222504521095
"Chillicothe, OH Micro Area",32066,29386,2680,8.357762115636499
"Cincinnati, OH-KY-IN Metro Area",957458,890439,67019,6.999680403735725
"Clarksburg, WV Micro Area",41162,36794,4368,10.611729264855935
"Clarksdale, MS Micro Area",10162,8452,1710,16.827396181853967
"Clarksville, TN-KY Metro Area",129115,117514,11601,8.985013360182782
"Clearlake, CA Micro Area",34220,27622,6598,19.281122150789013
"Cleveland, MS Micro Area",13628,11994,1634,11.99002054593484
"Cleveland, TN Metro Area",53342,49007,4335,8.126804394285928
"Cleveland-Elyria, OH Metro Area",968069,887924,80145,8.27885202397763
"Clewiston, FL Micro Area",14971,12644,2327,15.54338387549262
"Clinton, IA Micro Area",21517,19483,2034,9.452990658549055
"Clovis, NM Micro Area",21102,18563,2539,12.032034878210595
"Coamo, PR Micro Area",16420,14060,2360,14.372716199756393
"Coco, PR Micro Area",13496,10757,2739,20.294902193242443
"Coeur d'Alene, ID Metro Area",74736,67278,7458,9.979126525369301
"Coffeyville, KS Micro Area",15569,12968,2601,16.70627529064166
"Coldwater, MI Micro Area",20749,16780,3969,19.12863270519061
"College Station-Bryan, TX Metro Area",114483,99027,15456,13.500694426246692
"Colorado Springs, CO Metro Area",300775,283304,17471,5.808660959188763
"Columbia, MO Metro Area",91485,83927,7558,8.261463627917145
"Columbia, SC Metro Area",366298,331048,35250,9.623312166596596
"Columbus, GA-AL Metro Area",143697,128919,14778,10.28413954362304
"Columbus, IN Metro Area",35317,32607,2710,7.673358439278534
"Columbus, MS Micro Area",26882,23680,3202,11.911316122312329
"Columbus, NE Micro Area",14094,13313,781,5.541365119909181
"Columbus, OH Metro Area",902082,841636,60446,6.700721220465546
"Concord, NH Micro Area",65565,60420,5145,7.847174559597346
"Connersville, IN Micro Area",10886,9720,1166,10.711004960499725
"Cookeville, TN Micro Area",51443,46179,5264,10.232684719009388
"Coos Bay, OR Micro Area",31378,27662,3716,11.842692332207278
"Cordele, GA Micro Area",9854,8346,1508,15.303430079155673
"Corinth, MS Micro Area",16159,14395,1764,10.916517111207376
"Cornelia, GA Micro Area",18340,16408,1932,10.534351145038167
"Corning, NY Micro Area",47327,39737,7590,16.037357111162763
"Corpus Christi, TX Metro Area",180679,155483,25196,13.945173484466928
"Corsicana, TX Micro Area",21385,18660,2725,12.742576572363806
"Cortland, NY Micro Area",20814,18378,2436,11.703660997405592
"Corvallis, OR Metro Area",40150,37447,2703,6.732254047322541
"Coshocton, OH Micro Area",16324,14621,1703,10.432492036265621
"Craig, CO Micro Area",6091,5352,739,12.13265473649647
"Crawfordsville, IN Micro Area",16464,15210,1254,7.61661807580175
"Crescent City, CA Micro Area",11090,9807,1283,11.56898106402164
"Crestview-Fort Walton Beach-Destin, FL Metro Area",157394,113938,43456,27.609692872663505
"Crossville, TN Micro Area",30479,26933,3546,11.634239968502904
"Cullman, AL Micro Area",39145,34723,4422,11.296461872525226
"Cullowhee, NC Micro Area",34990,22610,12380,35.38153758216633
"Cumberland, MD-WV Metro Area",45364,38710,6654,14.668018693236927
"Dallas-Fort Worth-Arlington, TX Metro Area",2947189,2760991,186198,6.317816739951187
"Dalton, GA Metro Area",54914,50852,4062,7.397020796153986
"Danville, IL Metro Area",34407,30568,3839,11.157613276368181
"Danville, KY Micro Area",23706,21457,2249,9.487049692061083
"Danville, VA Micro Area",51628,44330,7298,14.135740295963432
"Daphne-Fairhope-Foley, AL Metro Area",124148,93116,31032,24.995972548893256
