msa,Total_Homes,Occupied_Homes,Vacant_Homes,Vacant_Homes_Percent
"Jamestown-Dunkirk-Fredonia, NY Micro Area",66247,53223,13024,19.659758177728804
"Janesville-Beloit, WI Metro Area",70068,65937,4131,5.895701318718959
"Jasper, AL Micro Area",29975,26423,3552,11.849874895746455
"Jasper, IN Micro Area",24199,22384,1815,7.500309930162404
"Jayuya, PR Micro Area",6340,5590,750,11.829652996845425
"Jefferson, GA Micro Area",27699,26174,1525,5.505613921080183
"Jefferson City, MO Metro Area",64421,58013,6408,9.947066950218096
"Jennings, LA Micro Area",13936,12197,1739,12.478473019517795
"Jesup, GA Micro Area",12460,11141,1319,10.585874799357946
"Johnson City, TN Metro Area",97027,87383,9644,9.939501375905675
"Johnstown, PA Metro Area",64395,56370,8025,12.462147682273468
"Jonesboro, AR Metro Area",57066,52475,4591,8.045070619983878
"Joplin, MO Metro Area",77309,70518,6791,8.784229520495673
"Juneau, AK Micro Area",14093,12940,1153,8.181366635918542
"Kahului-Wailuku-Lahaina, HI Metro Area",71439,56063,15376,21.52325760438976
"Kalamazoo-Portage, MI Metro Area",114021,106906,7115,6.2400785820155935
"Kalispell, MT Micro Area",49875,42481,7394,14.825062656641604
"Kankakee, IL Metro Area",45270,41528,3742,8.265959796774906
"Kansas City, MO-KS Metro Area",938503,868375,70128,7.472325607909617
"Kapaa, HI Micro Area",30157,24712,5445,18.055509500281858
"Kearney, NE Micro Area",23913,22317,1596,6.674193953079914
"Keene, NH Micro Area",35612,31372,4240,11.90609906772998
"Kendallville, IN Micro Area",20049,17981,2068,10.314728914160307
"Kennett, MO Micro Area",13409,11573,1836,13.692296218957416
"Kennewick-Richland, WA Metro Area",109816,105117,4699,4.2789757412398925
"Kerrville, TX Micro Area",25200,22060,3140,12.46031746031746
"Ketchikan, AK Micro Area",6614,5479,1135,17.160568491079527
"Key West, FL Micro Area",53961,36436,17525,32.477159429958675
"Kill Devil Hills, NC Micro Area",34237,15966,18271,53.36624120103981
"Killeen-Temple, TX Metro Area",186020,169916,16104,8.65713364154392
"Kingsport-Bristol, TN-VA Metro Area",148388,131113,17275,11.641776963096746
"Kingston, NY Metro Area",85853,73321,12532,14.597043784142663
"Kingsville, TX Micro Area",14144,11661,2483,17.55514705882353
"Kinston, NC Micro Area",26577,22930,3647,13.72239154155849
"Kirksville, MO Micro Area",13225,11489,1736,13.126654064272211
"Klamath Falls, OR Micro Area",32730,28634,4096,12.514512679498932
"Knoxville, TN Metro Area",393836,358473,35363,8.979118211641394
"Kokomo, IN Metro Area",39605,35711,3894,9.832091907587426
"Laconia, NH Micro Area",38252,27027,11225,29.344870856425807
"La Crosse-Onalaska, WI-MN Metro Area",61505,58101,3404,5.5345093894805295
"Lafayette, LA Metro Area",212942,188906,24036,11.287580655765419
"Lafayette-West Lafayette, IN Metro Area",94722,86517,8205,8.662190409830874
"La Grande, OR Micro Area",11649,10779,870,7.468452227659027
"LaGrange, GA-AL Micro Area",45094,40555,4539,10.065640661728834
"Lake Charles, LA Metro Area",97407,85986,11421,11.725030028642704
"Lake City, FL Micro Area",29775,26424,3351,11.2544080604534
"Lake Havasu City-Kingman, AZ Metro Area",117650,91270,26380,22.422439439014024
"Lakeland-Winter Haven, FL Metro Area",316381,272418,43963,13.895587914571356
"Lamesa, TX Micro Area",4859,4079,780,16.052685737806133
"Lancaster, PA Metro Area",216502,206467,10035,4.635061107980527
"Lansing-East Lansing, MI Metro Area",235800,219517,16283,6.905428329092452
"Laramie, WY Micro Area",18494,15993,2501,13.523304855628854
"Laredo, TX Metro Area",84763,78282,6481,7.646024798555974
"Las Cruces, NM Metro Area",89804,82366,7438,8.28248184936083
"Las Vegas, NM Micro Area",17634,13246,4388,24.883747306340027
"Las Vegas-Henderson-Paradise, NV Metro Area",917656,845888,71768,7.820795592248075
"Laurel, MS Micro Area",36517,32100,4417,12.095736232439686
"Laurinburg, NC Micro Area",14348,12870,1478,10.30108725954837
"Lawrence, KS Metro Area",52846,48553,4293,8.123604435529652
"Lawrenceburg, TN Micro Area",18658,17075,1583,8.484296280415908
"Lawton, OK Metro Area",55292,46927,8365,15.128770889097881
"Lebanon, MO Micro Area",15908,14325,1583,9.950968066381694
"Lebanon, NH-VT Micro Area",122215,94070,28145,23.0290880824776
"Lebanon, PA Metro Area",59084,55808,3276,5.544648297339381
"Levelland, TX Micro Area",9173,7954,1219,13.289000327046768
"Lewisburg, PA Micro Area",16082,14523,1559,9.694067902002239
"Lewisburg, TN Micro Area",14302,13279,1023,7.152845755838344
"Lewiston, ID-WA Metro Area",28398,26580,1818,6.401859285865203
"Lewiston-Auburn, ME Metro Area",49837,45393,4444,8.91706964704938
"Lewistown, PA Micro Area",21313,18823,2490,11.6830103692582
"Lexington, NE Micro Area",10940,9657,1283,11.727605118829981
"Lexington-Fayette, KY Metro Area",226278,209217,17061,7.5398403733460615
"Liberal, KS Micro Area",8268,7359,909,10.994194484760522
"Lima, OH Metro Area",44563,40935,3628,8.14128312725804
"Lincoln, IL Micro Area",11984,10749,1235,10.305407209612817
"Lincoln, NE Metro Area",142545,134442,8103,5.684520677680732
"Little Rock-North Little Rock-Conway, AR Metro Area",336959,305493,31466,9.33822809303209
"Lock Haven, PA Micro Area",18603,15199,3404,18.298123958501318
"Logan, UT-ID Metro Area",48759,46259,2500,5.127258557394533
"Logansport, IN Micro Area",16379,14900,1479,9.02985530252152
"London, KY Micro Area",64306,57696,6610,10.278978633409013
"Longview, TX Metro Area",120889,107325,13564,11.220210275542026
"Longview, WA Metro Area",45424,42787,2637,5.80530116238112
"Los Alamos, NM Micro Area",8634,8147,487,5.640491081769747
"Los Angeles-Long Beach-Anaheim, CA Metro Area",4721766,4494733,227033,4.808222177888527
"Louisville/Jefferson County, KY-IN Metro Area",560778,520270,40508,7.2235358733759165
"Lubbock, TX Metro Area",137388,123566,13822,10.06055841849361
"Ludington, MI Micro Area",17392,12319,5073,29.168583256669734
"Lufkin, TX Micro Area",36480,32134,4346,11.913377192982457
"Lumberton, NC Micro Area",48426,43402,5024,10.3745921612357
"Lynchburg, VA Metro Area",117674,104926,12748,10.83331916991009
"Macomb, IL Micro Area",13609,11479,2130,15.651407157028437
"Macon-Bibb County, GA Metro Area",103752,91708,12044,11.608450921428021
"Madera, CA Metro Area",49572,45607,3965,7.998466876462519
"Madison, IN Micro Area",14386,12992,1394,9.689976365911303
"Madison, WI Metro Area",302538,287601,14937,4.937231025524066
"Madisonville, KY Micro Area",20888,18595,2293,10.977594791267714
"Magnolia, AR Micro Area",10999,9082,1917,17.42885716883353
"Malone, NY Micro Area",25318,18974,6344,25.057271506438106
"Malvern, AR Micro Area",14179,12473,1706,12.031878129628323
"Manchester-Nashua, NH Metro Area",175571,167875,7696,4.383411839085043
"Manhattan, KS Metro Area",56271,49249,7022,12.478896767429049
"Manitowoc, WI Micro Area",37818,34995,2823,7.464699349516104
"Mankato, MN Metro Area",42540,39921,2619,6.156558533145275
"Mansfield, OH Metro Area",54522,50303,4219,7.738160742452588
"Marietta, OH Micro Area",27987,25254,2733,9.765248150927217
"Marinette, WI-MI Micro Area",42401,29460,12941,30.520506591825665
"Marion, IN Micro Area",29810,26487,3323,11.147266018114726
"Marion, NC Micro Area",21242,18058,3184,14.989172394313153
"Marion, OH Micro Area",27348,24932,2416,8.83428404270879
"Marquette, MI Micro Area",33454,27681,5773,17.256531356489507
"Marshall, MN Micro Area",11180,10137,1043,9.329159212880143
"Marshall, MO Micro Area",9836,8469,1367,13.89792598617324
"Marshalltown, IA Micro Area",16745,15358,1387,8.283069573006868
"Martin, TN Micro Area",14945,13373,1572,10.518568082970893
"Martinsville, VA Micro Area",32475,28108,4367,13.44726712856043
"Maryville, MO Micro Area",9449,8376,1073,11.355699015768865
"Mason City, IA Micro Area",26083,22351,3732,14.30817007246099
"Mayagüez, PR Metro Area",52750,41964,10786,20.44739336492891
"Mayfield, KY Micro Area",16472,14742,1730,10.502671199611461
"Maysville, KY Micro Area",8160,7136,1024,12.549019607843137
"McAlester, OK Micro Area",22046,17339,4707,21.350811938673683
"McAllen-Edinburg-Mission, TX Metro Area",294902,258542,36360,12.329519637031963
"McComb, MS Micro Area",19017,16232,2785,14.644791502340013
"McMinnville, TN Micro Area",18088,16336,1752,9.685979655019903
"McPherson, KS Micro Area",13019,11897,1122,8.618173438820186
"Meadville, PA Micro Area",42063,33930,8133,19.335282790100564
"Medford, OR Metro Area",96239,90467,5772,5.997568553289208
"Memphis, TN-MS-AR Metro Area",565930,516751,49179,8.689943986005336
"Menomonie, WI Micro Area",18693,17414,1279,6.842133418926871
"Merced, CA Metro Area",87783,83464,4319,4.920087032796783
"Meridian, MS Micro Area",44946,39222,5724,12.735282338806567
"Mexico, MO Micro Area",10542,9414,1128,10.700056915196358
"Miami, OK Micro Area",13714,11859,1855,13.52632346507219
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",2641002,2331951,309051,11.702035818223539
"Michigan City-La Porte, IN Metro Area",49780,43799,5981,12.014865407794295
"Middlesborough, KY Micro Area",11517,9928,1589,13.796995745419816
"Midland, MI Metro Area",36867,34288,2579,6.995415954647788
"Midland, TX Metro Area",72423,62728,9695,13.386631318779946
"Milledgeville, GA Micro Area",24884,19809,5075,20.394631088249476
"Milwaukee-Waukesha, WI Metro Area",693765,651032,42733,6.159578531635352
"Minden, LA Micro Area",18236,15684,2552,13.994296994955032
"Mineral Wells, TX Micro Area",15079,11250,3829,25.392930565687376
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",1503829,1434315,69514,4.622467049112632
"Minot, ND Micro Area",36276,32121,4155,11.453853787628184
"Missoula, MT Metro Area",54542,50645,3897,7.144952513659199
"Mitchell, SD Micro Area",10763,9727,1036,9.625569079252996
"Moberly, MO Micro Area",10773,9424,1349,12.522045855379188
"Mobile, AL Metro Area",192153,170071,22082,11.491884071547153
"Modesto, CA Metro Area",183140,176738,6402,3.4956863601616246
"Monroe, LA Metro Area",92225,81715,10510,11.396042287882894
"Monroe, MI Metro Area",65845,62152,3693,5.608626319386438
"Montgomery, AL Metro Area",171240,152474,18766,10.958888110254614
"Montrose, CO Micro Area",22266,19779,2487,11.169496092697386
"Morehead City, NC Micro Area",50846,30112,20734,40.778035637021596
"Morgan City, LA Micro Area",22407,19321,3086,13.772481813718926
"Morgantown, WV Metro Area",65055,57330,7725,11.874567673507032
"Morristown, TN Metro Area",63848,56389,7459,11.682433279037713
"Moscow, ID Micro Area",17259,16063,1196,6.929717828379396
"Moses Lake, WA Micro Area",38635,34078,4557,11.795004529571631
"Moultrie, GA Micro Area",19105,17172,1933,10.117770217220624
"Mountain Home, AR Micro Area",22699,18936,3763,16.577822811577605
"Mountain Home, ID Micro Area",12049,10663,1386,11.503029297037099
"Mount Airy, NC Micro Area",33436,29659,3777,11.296207680344539
"Mount Gay-Shamrock, WV Micro Area",14738,13033,1705,11.568733885194735
"Mount Pleasant, MI Micro Area",28489,25191,3298,11.576397907964479
"Mount Pleasant, TX Micro Area",17787,15620,2167,12.183055040197898
"Mount Sterling, KY Micro Area",20847,18475,2372,11.378135942821508
"Mount Vernon, IL Micro Area",16632,14945,1687,10.143097643097644
"Mount Vernon, OH Micro Area",25797,23429,2368,9.179361941311006
"Mount Vernon-Anacortes, WA Metro Area",55744,50371,5373,9.638705510907004
"Muncie, IN Metro Area",51464,45453,6011,11.680009326908129
"Murray, KY Micro Area",17874,15108,2766,15.474991607922123
"Muscatine, IA Micro Area",18366,16908,1458,7.93858216269193
"Muskegon, MI Metro Area",74591,68610,5981,8.018393639983376
"Muskogee, OK Micro Area",29278,25525,3753,12.818498531320447
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",292032,211717,80315,27.502123055007672
"Nacogdoches, TX Micro Area",28877,24713,4164,14.419780448107492
"Napa, CA Metro Area",55448,49738,5710,10.29793680565575
"Naples-Marco Island, FL Metro Area",228390,157921,70469,30.854678400980777
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",828009,772530,55479,6.700289489606997
"Natchez, MS-LA Micro Area",23849,19911,3938,16.51222273470586
"Natchitoches, LA Micro Area",18513,15213,3300,17.825311942959
"New Bern, NC Metro Area",58553,49998,8555,14.610694584393627
"Newberry, SC Micro Area",18213,15039,3174,17.427112502058968
"New Castle, IN Micro Area",20952,18954,1998,9.536082474226804
"New Castle, PA Micro Area",39492,35939,3553,8.996758837232857
"New Haven-Milford, CT Metro Area",369178,343437,25741,6.972517322267308
"New Orleans-Metairie, LA Metro Area",571914,512253,59661,10.431813174708084
"New Philadelphia-Dover, OH Micro Area",40817,37711,3106,7.609574442021707
"Newport, OR Micro Area",32066,22707,9359,29.18667747770224
"Newport, TN Micro Area",17808,15246,2562,14.38679245283019
"New Ulm, MN Micro Area",11780,10970,810,6.8760611205432935
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",7982384,7405418,576966,7.227991036261848
"Niles, MI Metro Area",76821,63955,12866,16.748024628682263
"Nogales, AZ Micro Area",18729,16670,2059,10.993646217096481
"Norfolk, NE Micro Area",20672,19150,1522,7.362616099071208
"North Platte, NE Micro Area",17125,15137,1988,11.608759124087591
"North Port-Sarasota-Bradenton, FL Metro Area",459864,368648,91216,19.835429605274605
"North Vernon, IN Micro Area",11574,10582,992,8.570934853983065
"North Wilkesboro, NC Micro Area",31545,27612,3933,12.467902995720399
"Norwalk, OH Micro Area",25499,23406,2093,8.208165026079454
"Norwich-New London, CT Metro Area",122863,109572,13291,10.817740084484344
"Oak Harbor, WA Micro Area",41922,35917,6005,14.324221172653976
"Ocala, FL Metro Area",177380,156906,20474,11.542451234637502
"Ocean City, NJ Metro Area",99606,41012,58594,58.82577354777825
"Odessa, TX Metro Area",66086,57336,8750,13.24032321520443
"Ogden-Clearfield, UT Metro Area",234051,223399,10652,4.551144835954557
"Ogdensburg-Massena, NY Micro Area",51612,41235,10377,20.10578935131365
"Oil City, PA Micro Area",26156,21506,4650,17.777947698424835
"Okeechobee, FL Micro Area",18484,14433,4051,21.91625189352954
"Oklahoma City, OK Metro Area",607725,552514,55211,9.084865687605413
"Olean, NY Micro Area",40152,31863,8289,20.644052600119544
"Olympia-Lacey-Tumwater, WA Metro Area",121438,115397,6041,4.974554916912334
"Omaha-Council Bluffs, NE-IA Metro Area",400945,375433,25512,6.362967489306513
"Oneonta, NY Micro Area",29838,23414,6424,21.529593136269188
"Ontario, OR-ID Micro Area",21299,19728,1571,7.375933142401052
"Opelousas, LA Micro Area",36723,32499,4224,11.50232824115677
"Orangeburg, SC Micro Area",41197,33825,7372,17.894506881569047
"Orlando-Kissimmee-Sanford, FL Metro Area",1087949,989354,98595,9.062465244234794
"Oshkosh-Neenah, WI Metro Area",76046,71473,4573,6.013465534018883
"Oskaloosa, IA Micro Area",9680,8799,881,9.101239669421487
"Othello, WA Micro Area",6735,6228,507,7.527839643652562
"Ottawa, IL Micro Area",68485,61808,6677,9.749580200043805
"Ottawa, KS Micro Area",11149,10233,916,8.215983496277692
"Ottumwa, IA Micro Area",15734,14167,1567,9.959323757467905
"Owatonna, MN Micro Area",15691,14823,868,5.531833535147537
"Owensboro, KY Metro Area",51918,48373,3545,6.828075041411457
"Oxford, MS Micro Area",28208,22362,5846,20.724617129892227
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",293080,279715,13365,4.560188344479323
"Ozark, AL Micro Area",22761,20159,2602,11.431835156627566
"Paducah, KY-IL Micro Area",47110,41820,5290,11.22903842071747
"Pahrump, NV Micro Area",25191,21763,3428,13.608034615537296
"Palatka, FL Micro Area",36014,29569,6445,17.8958182928861
"Palestine, TX Micro Area",20131,17371,2760,13.71019820177835
"Palm Bay-Melbourne-Titusville, FL Metro Area",288794,257026,31768,11.000228536603945
"Pampa, TX Micro Area",10426,8278,2148,20.602340303088432
"Panama City, FL Metro Area",102971,70134,32837,31.889561138572997
"Paragould, AR Micro Area",19159,17673,1486,7.756145936635524
"Paris, TN Micro Area",16937,13742,3195,18.86402550628801
"Paris, TX Micro Area",22644,20186,2458,10.854972619678502
"Parkersburg-Vienna, WV Metro Area",43006,38403,4603,10.703157698925732
"Parsons, KS Micro Area",9524,8222,1302,13.670726585468291
"Payson, AZ Micro Area",32373,22312,10061,31.078367775615483
"Pearsall, TX Micro Area",6340,5190,1150,18.138801261829656
"Pecos, TX Micro Area",5102,4203,899,17.620540964327713
"Pella, IA Micro Area",14073,13145,928,6.5941874511475875
"Pensacola-Ferry Pass-Brent, FL Metro Area",221244,197614,23630,10.68051562980239
"Peoria, IL Metro Area",183579,165642,17937,9.770725409769092
"Peru, IN Micro Area",14852,13348,1504,10.126582278481013
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2586947,2413835,173112,6.691748999882874
"Phoenix-Mesa-Chandler, AZ Metro Area",1985705,1790242,195463,9.843506462440292
"Picayune, MS Micro Area",24641,21703,2938,11.923217401891158
"Pierre, SD Micro Area",9349,8484,865,9.252326452026955
"Pine Bluff, AR Metro Area",38509,33172,5337,13.85909787322444
"Pinehurst-Southern Pines, NC Micro Area",48237,41881,6356,13.17660716877086
"Pittsburg, KS Micro Area",17997,15668,2329,12.941045729843864
"Pittsburgh, PA Metro Area",1124531,1024382,100149,8.905846081610912
"Pittsfield, MA Metro Area",69759,57015,12744,18.26861050187073
"Plainview, TX Micro Area",13396,11396,2000,14.929829799940281
"Platteville, WI Micro Area",22110,19956,2154,9.742198100407055
"Plattsburgh, NY Micro Area",37315,32583,4732,12.681227388449685
"Plymouth, IN Micro Area",19654,17480,2174,11.061361554899767
"Pocatello, ID Metro Area",37840,35127,2713,7.169661733615222
"Point Pleasant, WV-OH Micro Area",25583,22235,3348,13.08681546339366
"Ponca City, OK Micro Area",20968,17571,3397,16.2008775276612
"Ponce, PR Metro Area",104029,88500,15529,14.927568274231223
"Pontiac, IL Micro Area",15920,14396,1524,9.57286432160804
"Poplar Bluff, MO Micro Area",24432,21496,2936,12.017026850032744
"Portales, NM Micro Area",8483,7159,1324,15.607685960155603
"Port Angeles, WA Micro Area",37930,34113,3817,10.063274452939625
"Portland-South Portland, ME Metro Area",280588,233160,47428,16.90307497113205
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",1033420,979213,54207,5.245398773006135
"Port Lavaca, TX Micro Area",10539,7614,2925,27.75405636208369
"Port St. Lucie, FL Metro Area",229255,197747,31508,13.74364790299012
"Portsmouth, OH Micro Area",33108,29612,3496,10.559381418388305
"Pottsville, PA Micro Area",67128,57950,9178,13.672387081396733
"Poughkeepsie-Newburgh-Middletown, NY Metro Area",268888,247673,21215,7.889902115378894
"Prescott Valley-Prescott, AZ Metro Area",121154,104425,16729,13.80804595803688
"Price, UT Micro Area",9579,7950,1629,17.0059505167554
"Prineville, OR Micro Area",11159,9975,1184,10.61026973743167
"Providence-Warwick, RI-MA Metro Area",726938,670567,56371,7.754581546156619
"Provo-Orem, UT Metro Area",196386,188087,8299,4.225861313942949
"Pueblo, CO Metro Area",71981,67095,4886,6.787902363123602
"Pullman, WA Micro Area",20922,18650,2272,10.859382468215276
"Punta Gorda, FL Metro Area",110046,85846,24200,21.99080384566454
"Quincy, IL-MO Micro Area",34547,31102,3445,9.971922308738819
"Racine, WI Metro Area",84490,78959,5531,6.546336844596993
"Raleigh-Cary, NC Metro Area",576280,542396,33884,5.879780662178108
"Rapid City, SD Metro Area",61510,56274,5236,8.512437002113478
"Raymondville, TX Micro Area",6770,5714,1056,15.598227474150663
"Reading, PA Metro Area",170742,161485,9257,5.421630296002156
"Red Bluff, CA Micro Area",27341,24910,2431,8.891408507369885
"Redding, CA Metro Area",79380,72836,6544,8.243890148652055
"Red Wing, MN Micro Area",20864,19499,1365,6.54236963190184
"Reno, NV Metro Area",209196,193692,15504,7.411231572305398
"Rexburg, ID Micro Area",22576,17388,5188,22.980155917788803
"Richmond, IN Micro Area",30752,27409,3343,10.870837669094694
"Richmond, VA Metro Area",551968,518667,33301,6.033139602295785
"Richmond-Berea, KY Micro Area",46146,42023,4123,8.934685563212414
"Rio Grande City-Roma, TX Micro Area",22980,19868,3112,13.542210617928632
"Riverside-San Bernardino-Ontario, CA Metro Area",1580448,1431119,149329,9.448523456640142
"Riverton, WY Micro Area",17407,15146,2261,12.989027402769002
"Roanoke, VA Metro Area",147601,132722,14879,10.080555009789908
"Roanoke Rapids, NC Micro Area",35305,28508,6797,19.25223056224331
"Rochelle, IL Micro Area",22632,20870,1762,7.785436550017674
"Rochester, MN Metro Area",97302,90673,6629,6.812809603091406
"Rochester, NY Metro Area",489463,450845,38618,7.8898711444991765
"Rockford, IL Metro Area",145140,134568,10572,7.284001653575858
"Rockingham, NC Micro Area",19605,17454,2151,10.971690895179801
"Rockport, TX Micro Area",15500,10236,5264,33.961290322580645
"Rock Springs, WY Micro Area",19145,16625,2520,13.16270566727605
"Rocky Mount, NC Metro Area",66213,59064,7149,10.796973404014318
"Rolla, MO Micro Area",20174,17815,2359,11.69326856349757
"Rome, GA Metro Area",40475,36883,3592,8.874613959234095
"Roseburg, OR Micro Area",49774,45817,3957,7.94993370032547
"Roswell, NM Micro Area",26658,23521,3137,11.767574461700052
"Ruidoso, NM Micro Area",17624,9148,8476,48.09350885156605
"Russellville, AR Micro Area",36148,31918,4230,11.701892220869757
"Ruston, LA Micro Area",20370,18075,2295,11.26656848306333
"Rutland, VT Micro Area",33869,26651,7218,21.311523812335764
"Sacramento-Roseville-Folsom, CA Metro Area",933562,868460,65102,6.97350577679897
"Safford, AZ Micro Area",13704,12150,1554,11.339754816112084
"Saginaw, MI Metro Area",85953,78442,7511,8.738496620245948
"St. Cloud, MN Metro Area",82999,76927,6072,7.3157507921782186
"St. George, UT Metro Area",74530,62416,12114,16.253857507044142
"St. Joseph, MO-KS Metro Area",53437,47703,5734,10.73039279899695
"St. Louis, MO-IL Metro Area",1258862,1149824,109038,8.661632490296792
"St. Marys, GA Micro Area",22541,20374,2167,9.613593008295993
"St. Marys, PA Micro Area",16836,13590,3246,19.280114041339985
"Salem, OH Micro Area",46091,41706,4385,9.513787941246663
"Salem, OR Metro Area",162369,154721,7648,4.7102587316544415
"Salina, KS Micro Area",26757,24568,2189,8.181036738049857
"Salinas, CA Metro Area",143631,131789,11842,8.244738252884126
"Salisbury, MD-DE Metro Area",253120,169737,83383,32.94208280657396
"Salt Lake City, UT Metro Area",451281,427316,23965,5.310438507271523
"San Angelo, TX Metro Area",52770,47794,4976,9.429600151601289
"San Antonio-New Braunfels, TX Metro Area",1015678,925609,90069,8.867869541331013
"San Diego-Chula Vista-Carlsbad, CA Metro Area",1228505,1158764,69741,5.676899971917086
"Sandpoint, ID Micro Area",26312,19619,6693,25.437062937062937
"Sandusky, OH Micro Area",38262,32360,5902,15.42522607286603
"Sanford, NC Micro Area",26583,24575,2008,7.553699732912012
"San Francisco-Oakland-Berkeley, CA Metro Area",1847185,1744100,103085,5.580653805655633
"San Germán, PR Metro Area",67255,52203,15052,22.380492156716972
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",708400,675547,32853,4.637634105025409
"San Juan-Bayamón-Caguas, PR Metro Area",1006503,851651,154852,15.385150367162343
"San Luis Obispo-Paso Robles, CA Metro Area",123715,107797,15918,12.866669361031402
"Santa Cruz-Watsonville, CA Metro Area",106345,96261,10084,9.482345197235412
"Santa Fe, NM Metro Area",76877,68020,8857,11.521001079646709
"Santa Isabel, PR Micro Area",9345,8094,1251,13.386837881219904
"Santa Maria-Santa Barbara, CA Metro Area",158279,148353,9926,6.271204644962376
"Santa Rosa-Petaluma, CA Metro Area",204742,187701,17041,8.323157925584395
"Sault Ste. Marie, MI Micro Area",20268,13837,6431,31.7298204065522
"Savannah, GA Metro Area",175166,156817,18349,10.475206375666511
"Sayre, PA Micro Area",29363,24789,4574,15.577427374587066
"Scottsbluff, NE Micro Area",17526,15471,2055,11.72543649435125
"Scottsboro, AL Micro Area",24627,21733,2894,11.751329841231168
"Scottsburg, IN Micro Area",10715,9717,998,9.314045730284647
"Scranton--Wilkes-Barre, PA Metro Area",263327,233994,29333,11.139381833233964
"Searcy, AR Micro Area",33270,29705,3565,10.71535918244665
"Seattle-Tacoma-Bellevue, WA Metro Area",1650246,1564432,85814,5.200073201207578
"Sebastian-Vero Beach, FL Metro Area",83529,71177,12352,14.787678530809659
"Sebring-Avon Park, FL Metro Area",57486,44376,13110,22.805552656298925
"Sedalia, MO Micro Area",18563,16588,1975,10.63944405537898
"Selinsgrove, PA Micro Area",15978,14753,1225,7.66679183877832
"Selma, AL Micro Area",18880,16037,2843,15.058262711864407
"Seneca, SC Micro Area",40788,33241,7547,18.50299107580661
"Seneca Falls, NY Micro Area",16096,13414,2682,16.662524850894634
"Sevierville, TN Micro Area",56240,39520,16720,29.72972972972973
"Seymour, IN Micro Area",19069,17809,1260,6.607582988095863
"Shawano, WI Micro Area",22499,18500,3999,17.77412329436864
"Shawnee, OK Micro Area",29973,26817,3156,10.529476528875989
"Sheboygan, WI Metro Area",52303,48702,3601,6.8848823203257945
"Shelby, NC Micro Area",43630,39887,3743,8.578959431583772
"Shelbyville, TN Micro Area",19685,18350,1335,6.781813563627128
"Shelton, WA Micro Area",33269,25505,7764,23.337040488142115
"Sheridan, WY Micro Area",14884,13349,1535,10.313087879602257
"Sherman-Denison, TX Metro Area",58572,52307,6265,10.696237109881855
"Show Low, AZ Micro Area",56180,36836,19344,34.43218227127092
"Shreveport-Bossier City, LA Metro Area",179915,159810,20105,11.17472139621488
"Sidney, OH Micro Area",20059,18803,1256,6.261528490951693
"Sierra Vista-Douglas, AZ Metro Area",58648,50936,7712,13.1496385213477
"Sikeston, MO Micro Area",16746,15306,1440,8.599068434252956
"Silver City, NM Micro Area",14584,12269,2315,15.873560065825561
"Sioux City, IA-NE-SD Metro Area",60201,56332,3869,6.426803541469411
"Sioux Falls, SD Metro Area",116263,109218,7045,6.059537428072559
"Snyder, TX Micro Area",6889,5925,964,13.993322688343737
"Somerset, KY Micro Area",31552,26405,5147,16.312753549695742
"Somerset, PA Micro Area",37713,30208,7505,19.90029963142683
"Sonora, CA Micro Area",31415,22711,8704,27.706509629158045
"South Bend-Mishawaka, IN-MI Metro Area",143414,128014,15400,10.738142719678692
"Spartanburg, SC Metro Area",137009,125836,11173,8.154938726652993
"Spearfish, SD Micro Area",14163,11444,2719,19.19791004730636
"Spencer, IA Micro Area",8109,7222,887,10.93846343568874
"Spirit Lake, IA Micro Area",13691,7976,5715,41.742750712146666
"Spokane-Spokane Valley, WA Metro Area",246261,231275,14986,6.085413443460394
"Springfield, IL Metro Area",98573,89506,9067,9.198259158187334
"Springfield, MA Metro Area",297623,278127,19496,6.550569008443567
"Springfield, MO Metro Area",207779,192076,15703,7.557549126716367
"Springfield, OH Metro Area",60987,55844,5143,8.432944725925196
"Starkville, MS Micro Area",30438,25077,5361,17.612852355608123
"State College, PA Metro Area",65408,59357,6051,9.25116193737769
"Statesboro, GA Micro Area",32983,29747,3236,9.811114816723766
"Staunton, VA Metro Area",55174,51164,4010,7.267916047413636
"Steamboat Springs, CO Micro Area",16511,10388,6123,37.08436799709285
"Stephenville, TX Micro Area",18325,15858,2467,13.462482946793997
"Sterling, CO Micro Area",8668,7919,749,8.640978311029073
"Sterling, IL Micro Area",25855,23556,2299,8.891897118545735
"Stevens Point, WI Micro Area",31148,29138,2010,6.453062796969308
"Stillwater, OK Micro Area",36708,30958,5750,15.664160401002505
"Stockton, CA Metro Area",251453,241119,10334,4.109714340254441
"Storm Lake, IA Micro Area",8141,7447,694,8.524751259059084
"Sturgis, MI Micro Area",27081,23557,3524,13.012813411617
"Sulphur Springs, TX Micro Area",15671,13947,1724,11.001212430604301
"Summerville, GA Micro Area",10854,9520,1334,12.290399852588907
"Sumter, SC Metro Area",62569,54514,8055,12.873787338777989
