msa,Population,Unemployment (%),Remote (%),Travel_Time,Household_Income,Worker_Income,msa_id,latitude,longitude,Total_Homes,Occupied_Homes,Vacant_Homes,Vacant_Homes_Percent
"Des Moines-West Des Moines, IA Metro Area",711490,4.1,12.7,20.8,81103,47030,19780,41.6744179,-94.0394437,300984,280757,20227,6.720290779576323
"Detroit-Warren-Dearborn, MI Metro Area",4375604,6.6,11.8,26.5,72456,42843,19820,43.0904764,-83.2333705,1901256,1760892,140364,7.382698595034019
"Dickinson, ND Micro Area",33828,2.8,6.7,17.2,78608,47447,19860,47.0456305,-103.3943708,15948,13967,1981,12.42162026586406
"Dixon, IL Micro Area",34221,3.5,4.9,24.0,64588,40232,19940,41.74731105,-89.28602959086061,14985,13589,1396,9.315982649315982
"Dodge City, KS Micro Area",34212,3.2,2.1,12.9,67997,39021,19980,37.7072469,-99.8943146,12550,11376,1174,9.354581673306772
"Dothan, AL Metro Area",150969,4.8,4.0,23.8,54171,35300,20020,31.0862933,-85.803014,70792,62411,8381,11.838908351226127
"Douglas, GA Micro Area",51321,4.3,2.0,19.3,46936,32336,20060,31.3030105,-82.8839362,20801,18341,2460,11.826354502187394
"Dover, DE Metro Area",182400,6.0,6.4,26.7,69278,39186,20100,39.1156594,-75.484116,72708,68290,4418,6.076360235462397
"Dublin, GA Micro Area",65043,6.4,3.3,26.9,46411,33862,20140,32.6938608,-82.6374871,28334,25050,3284,11.590315521987716
"DuBois, PA Micro Area",79707,6.0,6.5,25.9,56982,35389,20180,40.9908706,-78.4457422,38078,32435,5643,14.819580860339304
"Dubuque, IA Metro Area",98812,4.1,9.7,17.1,73495,40612,20220,42.4692988,-90.8742047,42630,39891,2739,6.425052779732583
"Duluth, MN-WI Metro Area",291491,4.4,8.0,20.4,67612,38215,20260,46.5799933,-92.7206334,149586,124417,25169,16.825772465337664
"Dumas, TX Micro Area",21284,2.5,1.3,16.6,59041,39352,20300,35.8156121,-101.9104355,8188,7258,930,11.358085002442598
"Duncan, OK Micro Area",43140,4.9,4.1,23.7,57065,35897,20340,34.4858287,-97.8636045,20322,17268,3054,15.02804842043106
"Durango, CO Micro Area",55983,3.2,15.7,21.0,81936,41397,20420,37.2889732,-107.8539029,28198,23487,4711,16.70685864245691
"Durant, OK Micro Area",46528,4.8,5.5,20.1,54289,34350,20460,33.95386,-96.3154827,20366,17954,2412,11.843268192084848
"Durham-Chapel Hill, NC Metro Area",648066,4.0,17.4,24.6,76040,42438,20500,35.7151316,-79.2533035,282215,261637,20578,7.291603918997927
"Dyersburg, TN Micro Area",36818,4.5,3.9,20.4,53150,36852,20540,36.0543272,-89.4208221,16218,14787,1431,8.823529411764707
"Easton, MD Micro Area",37663,3.2,14.1,26.4,81667,44991,20660,38.7542065,-76.1919824,19538,16296,3242,16.59330535366977
"Eau Claire, WI Metro Area",171951,3.2,9.9,19.4,70009,37365,20740,45.0740585,-91.2947258,73654,69167,4487,6.091997719064817
"Edwards, CO Micro Area",55650,4.4,12.6,22.1,98887,46602,20780,39.6161124,-106.7172844,32967,20760,12207,37.02793702793703
"Effingham, IL Micro Area",34594,2.5,10.4,17.9,73181,41680,20820,39.2744299,-88.2423795,15314,14117,1197,7.816377171215881
"El Campo, TX Micro Area",41614,5.7,3.6,25.0,59712,36950,20900,29.2454534,-96.2291474,17296,15446,1850,10.696114708603146
"El Centro, CA Metro Area",179578,13.2,5.9,22.7,53847,30547,20940,33.0305487,-115.3595666,56625,52050,4575,8.079470198675496
"El Dorado, AR Micro Area",38815,3.7,5.3,19.1,49745,36092,20980,33.1637366,-92.6171029,18599,16182,2417,12.995322329157483
"Elizabeth City, NC Micro Area",53507,5.6,6.8,30.0,60668,39114,21020,36.2280793,-76.2149621,24276,21182,3094,12.745098039215684
"Elk City, OK Micro Area",22295,6.2,3.1,19.0,51499,34051,21120,35.2496723,-99.6946079,10123,8034,2089,20.63617504692285
"Elkhart-Goshen, IN Metro Area",206841,3.8,4.9,19.2,63978,37896,21140,41.6012796,-85.8590603,79594,74631,4963,6.235394627735759
"Elkins, WV Micro Area",28005,7.3,4.7,21.5,51186,30605,21180,38.8085998,-79.872531,13035,10980,2055,15.765247410817032
"Elko, NV Micro Area",55222,4.7,4.7,29.0,87631,46786,21220,41.1958128,-115.3272864,22732,20433,2299,10.113496392750308
"Ellensburg, WA Micro Area",44424,5.9,11.5,23.5,66800,37556,21260,47.1057471,-120.5849305,23743,18650,5093,21.45053278861138
"Elmira, NY Metro Area",83584,6.3,5.9,20.0,61358,37528,21300,42.1384667,-76.7725493,38985,35242,3743,9.601128639220214
"El Paso, TX Metro Area",867161,6.8,6.7,24.2,55344,30834,21340,31.8072184,-106.2230394,319001,297233,21768,6.823803060178495
"Emporia, KS Micro Area",34752,2.6,4.8,15.4,56068,31536,21380,38.2928083,-96.6152916,16354,14239,2115,12.932615873792344
"Enid, OK Metro Area",62456,4.6,4.4,18.5,64165,35134,21420,36.3735486,-97.7845975,27846,24198,3648,13.100624865330747
"Enterprise, AL Micro Area",53559,4.8,3.1,23.1,62199,34627,21460,31.3629619,-85.9870669,24105,21263,2842,11.790085044596555
"Erie, PA Metro Area",270495,5.5,7.1,19.9,59396,34765,21500,42.18230345,-80.14107739801153,119791,109371,10420,8.698483191558632
"Escanaba, MI Micro Area",36839,5.2,5.1,19.0,53852,32742,21540,46.0236602,-86.8950252,19786,16290,3496,17.66905893055696
"Eufaula, AL-GA Micro Area",27057,7.0,3.9,25.9,39599,30578,21640,31.8589311,-85.4032078,13296,10675,2621,19.71269554753309
"Eugene-Springfield, OR Metro Area",382218,6.7,12.4,20.0,65157,33552,21660,43.9314567,-122.8575849,166226,156594,9632,5.79452071276455
"Eureka-Arcata, CA Micro Area",136132,9.2,10.9,18.9,57881,31207,21700,40.5997415,-123.8997734,62120,56422,5698,9.172569220862846
"Fairmont, MN Micro Area",19960,5.2,8.0,17.6,61674,40359,21860,43.6564337,-94.5498419,9748,8748,1000,10.258514567090684
"Fairmont, WV Micro Area",56194,6.4,7.2,24.3,59974,37591,21900,39.5128606,-80.2258567,26280,23223,3057,11.6324200913242
"Fallon, NV Micro Area",25409,6.3,5.1,22.8,69922,41292,21980,39.6136309,-118.4191948,10772,10017,755,7.008911994058671
"Fargo, ND-MN Metro Area",251635,3.1,7.8,18.0,73641,41725,22020,46.8994904,-96.5088202,112241,103603,8638,7.695939986279524
"Faribault-Northfield, MN Micro Area",67152,5.3,13.4,22.4,78214,36335,22060,44.3413376,-93.2865484,25018,23416,1602,6.403389559517148
"Farmington, MO Micro Area",66814,4.8,5.4,25.5,53083,33222,22100,37.7763775,-90.5089041,28636,24792,3844,13.4236625226987
"Farmington, NM Metro Area",121798,8.9,4.8,24.2,50734,32904,22140,36.4755752,-108.3046555,47744,42536,5208,10.908176943699733
"Fayetteville, NC Metro Area",522537,7.1,5.6,24.8,57488,34936,22180,35.0461723,-78.8394255,215134,195651,19483,9.056216125763475
"Fayetteville-Springdale-Rogers, AR Metro Area",550596,3.5,11.2,20.8,73316,40442,22220,36.3456186,-94.2670404,221207,203096,18111,8.187353926412817
"Fergus Falls, MN Micro Area",60072,5.3,10.0,21.5,67990,40446,22260,46.4184196,-95.713142,36506,25123,11383,31.18117569714568
"Findlay, OH Micro Area",75072,3.7,6.8,17.9,67006,40370,22300,40.9939911,-83.6587588,33655,31107,2548,7.570940424899717
"Fitzgerald, GA Micro Area",17169,5.0,2.9,15.6,38255,29929,22340,31.7462726,-83.2355879,8124,7074,1050,12.924667651403247
"Flagstaff, AZ Metro Area",144705,7.0,9.5,19.2,67266,31389,22380,35.9363252,-111.6948197,69108,51320,17788,25.73942235341784
"Flint, MI Metro Area",405280,8.5,7.4,26.8,58594,34720,22420,43.0220032,-83.7274305,183087,167118,15969,8.722082944174081
"Florence, SC Metro Area",200040,5.1,6.6,22.7,52401,34997,22500,34.3609331,-79.9438572,89973,80276,9697,10.777677747768776
"Florence-Muscle Shoals, AL Metro Area",151599,3.5,5.2,24.6,56113,35355,22520,34.6473396,-87.7921769,72251,63969,8282,11.462817123638429
"Fond du Lac, WI Metro Area",104027,3.3,7.2,20.6,70368,42012,22540,43.7533414,-88.4493796,45740,42824,2916,6.375163970266725
"Forest City, NC Micro Area",64680,6.0,5.6,25.4,50512,32995,22580,35.3994626,-81.9023191,32444,26652,5792,17.85229934656639
"Forrest City, AR Micro Area",23138,6.6,2.5,20.2,39822,28699,22620,35.0153956,-90.7263194,9565,8470,1095,11.447987454260325
"Fort Dodge, IA Micro Area",36986,3.2,4.1,18.3,65335,36676,22700,42.4326072,-94.184316,16937,15046,1891,11.164905237054969
"Fort Leonard Wood, MO Micro Area",53726,4.7,4.4,18.5,62541,31040,22780,37.8402606,-92.2248398,19315,16902,2413,12.492881180429718
"Fort Morgan, CO Micro Area",29045,3.7,7.2,20.9,70471,40418,22820,40.2407621,-103.8225695,11493,10519,974,8.474723744888193
"Fort Payne, AL Micro Area",71680,3.9,3.8,25.2,47920,31564,22840,34.4524349,-85.7662118,30584,27145,3439,11.244441538059116
"Fort Smith, AR-OK Metro Area",245475,5.2,5.0,21.5,53224,34249,22900,35.5803044,-94.2684622,107795,96313,11482,10.651699986084695
"Fort Wayne, IN Metro Area",419715,4.8,7.3,21.8,66758,39504,23060,41.0975573,-85.0562084,177268,165547,11721,6.612022474445473
"Frankfort, IN Micro Area",33020,3.4,5.8,20.7,59515,36824,23140,40.2992769,-86.4692735,13450,12421,1029,7.650557620817844
"Frankfort, KY Micro Area",75314,4.9,10.5,22.7,64669,38428,23180,38.0096811,-84.9880147,34044,31207,2837,8.333333333333332
"Fredericksburg, TX Micro Area",26953,3.5,9.4,19.9,70162,36463,23240,30.2954086,-98.9086643,14128,11486,2642,18.7004530011325
"Freeport, IL Micro Area",44482,5.3,9.1,22.2,57527,34132,23300,42.3503474,-89.6735637,21369,19184,2185,10.225092423604288
"Fremont, NE Micro Area",37175,4.1,3.6,18.3,66793,41134,23340,41.58577,-96.6789773,16191,14813,1378,8.510901117905009
"Fremont, OH Micro Area",58885,4.8,3.0,19.6,60814,38165,23380,41.2951563,-83.1555438,26479,24444,2035,7.685335548925563
"Fresno, CA Metro Area",1008280,8.6,8.2,23.3,67756,35722,23420,36.6713502,-119.8155355,338441,319296,19145,5.6568205388827
"Gadsden, AL Metro Area",103348,6.0,3.1,24.6,52177,32882,23460,34.0371404,-86.022147,47306,41974,5332,11.27129750982962
"Gaffney, SC Micro Area",56200,5.9,4.8,25.0,47011,32945,23500,35.0372626,-81.6480755,24713,22349,2364,9.565815562659328
"Gainesville, FL Metro Area",341067,4.9,10.1,23.1,56638,32717,23540,29.675568,-82.3640109,151720,137030,14690,9.682309517532296
"Gainesville, GA Metro Area",204953,3.9,8.7,27.9,74153,36970,23580,34.2905901,-83.8194028,76865,71022,5843,7.601639237624407
"Gainesville, TX Micro Area",41860,3.9,6.6,24.4,66374,40484,23620,33.582486,-97.2055298,17716,15738,1978,11.165048543689322
"Galesburg, IL Micro Area",49751,4.9,4.8,21.2,50263,33337,23660,40.920889,-90.2202325,23817,20851,2966,12.453289667044547
"Gallup, NM Micro Area",72073,9.6,10.4,25.1,44029,30677,23700,35.6438394,-108.1515609,25057,22659,2398,9.570179989623655
"Garden City, KS Micro Area",42151,5.1,3.9,15.0,68481,38568,23780,38.0452481,-100.8199963,15766,14491,1275,8.087022707091208
"Gettysburg, PA Metro Area",104604,3.4,8.5,28.3,78975,38371,23900,39.8708972,-77.2395963,43007,40270,2737,6.364080266003208
"Gillette, WY Micro Area",60985,2.9,5.6,21.4,88151,48331,23940,44.1908398,-105.5775352,26894,23561,3333,12.393098832453337
"Glasgow, KY Micro Area",54824,4.9,6.3,23.0,47855,32662,23980,36.9584649,-85.925817,24485,21866,2619,10.696344700837248
"Glens Falls, NY Metro Area",126994,4.6,7.3,23.7,71380,42545,24020,43.5018687,-73.8164637,68926,53574,15352,22.27316252212518
"Gloversville, NY Micro Area",53280,4.3,5.4,24.6,60557,37682,24100,43.1061507,-74.4461771,28087,22390,5697,20.28340513404778
"Goldsboro, NC Metro Area",117480,5.0,3.8,21.8,54323,33858,24140,35.3546293,-78.0149444,52551,45997,6554,12.471694163764724
"Granbury, TX Micro Area",62459,5.8,10.0,34.8,80013,44429,24180,32.4107555,-97.828282,28321,24811,3510,12.393630168426256
"Grand Forks, ND-MN Metro Area",104055,3.4,5.2,16.3,65971,37581,24220,47.6554613,-96.4193484,48051,43192,4859,10.11217248340305
"Grand Island, NE Metro Area",76726,2.8,3.4,19.0,63314,38206,24260,40.8627335,-98.5122907,31572,29493,2079,6.584948688711517
"Grand Junction, CO Metro Area",156131,5.3,12.0,19.6,68077,37530,24300,39.05689950336452,-108.4861294669741,67407,63133,4274,6.340587772783242
"Grand Rapids, MN Micro Area",45054,6.2,7.7,24.2,63962,36864,24330,47.4968343,-93.6225663,25375,18968,6407,25.24926108374384
"Grants Pass, OR Metro Area",87994,8.1,10.8,20.2,56068,31545,24420,42.3554368,-123.5602707,38748,36024,2724,7.030040260142459
"Great Bend, KS Micro Area",25477,4.1,7.6,15.2,54634,35070,24460,38.4683432,-98.776234,12370,10640,1730,13.985448666127729
"Great Falls, MT Metro Area",84423,3.3,6.3,17.0,61351,37407,24500,47.3271465,-111.3281242,38937,35011,3926,10.082954516269872
"Greeley, CO Metro Area",331466,4.9,11.3,28.2,89182,44811,24540,40.5632344,-104.4835287,119962,113995,5967,4.974075123789199
"Green Bay, WI Metro Area",328011,2.7,9.0,20.0,74208,41950,24580,44.4383498,-88.0167093,145929,133007,12922,8.854991125821462
"Greeneville, TN Micro Area",70399,5.4,5.3,23.8,51975,33413,24620,36.1698443,-82.8766356,32154,28738,3416,10.6238726130497
"Greensboro-High Point, NC Metro Area",775169,5.1,8.9,23.0,59567,36037,24660,36.0875688,-79.7888515,337732,312232,25500,7.5503653784657665
"Greensburg, IN Micro Area",26432,3.1,7.5,22.5,71566,45651,24700,39.2862128,-85.4943058,11512,10472,1040,9.034051424600417
"Greenville, MS Micro Area",44604,9.5,2.9,19.7,38394,31840,24740,33.2626706,-90.9183546,20879,17954,2925,14.00929163274103
"Greenville, NC Metro Area",171196,7.5,9.1,21.3,54915,35434,24780,35.611481,-77.3707461,80515,70016,10499,13.039806247283114
"Greenville, OH Micro Area",51751,2.6,5.3,22.3,60237,37917,24820,40.168765,-84.631372,22599,20925,1674,7.4074074074074066
"Greenwood, MS Micro Area",37850,10.3,4.1,21.9,35452,29275,24900,33.4230182,-89.9110025,17546,15098,2448,13.951897868460048
"Greenwood, SC Micro Area",69309,5.5,2.7,19.8,47553,34634,24940,34.2264946,-82.4364036,31323,28123,3200,10.216135108386808
"Grenada, MS Micro Area",21474,4.1,1.4,21.2,45745,32701,24980,33.772401,-89.7674875,10405,9030,1375,13.214800576645844
"Gulfport-Biloxi, MS Metro Area",416839,8.0,5.4,25.7,58287,34690,25060,30.3892456,-89.4782116,183583,162916,20667,11.257578316075016
"Guymon, OK Micro Area",21144,2.7,3.3,15.2,55682,33306,25100,36.7390314,-101.4953594,8443,7376,1067,12.637688025583325
"Hagerstown-Martinsburg, MD-WV Metro Area",295165,4.8,8.9,30.5,72751,42895,25180,39.5893502,-77.710254,123729,112998,10731,8.672986931115584
"Hailey, ID Micro Area",25381,2.4,13.4,18.9,81271,36703,25200,43.3336455,-113.8808311,16127,10711,5416,33.58343151237056
"Hammond, LA Metro Area",133953,5.6,5.4,29.6,55274,33539,25220,30.6323024,-90.4315754,56685,50961,5724,10.09790949986769
"Hanford-Corcoran, CA Metro Area",152515,9.2,4.5,23.1,68540,37052,25260,36.0784807,-119.7956342,46287,44100,2187,4.724868753645732
"Hannibal, MO Micro Area",38881,3.5,6.3,19.2,62527,35283,25300,39.8080573,-91.6318781,17875,15616,2259,12.637762237762235
"Harrisburg-Carlisle, PA Metro Area",593318,4.0,12.2,22.9,76189,44822,25420,40.1541581,-77.2803933,255481,238249,17232,6.74492428008345
"Harrison, AR Micro Area",44905,4.3,9.5,21.0,52078,33013,25460,36.2829183,-93.0784759,21454,18624,2830,13.191013330847396
"Harrisonburg, VA Metro Area",135689,4.3,7.1,20.1,66823,31155,25500,38.5080288,-78.8949442,54062,49426,4636,8.57533942510451
"Hastings, NE Micro Area",31143,2.7,4.6,16.8,61502,35808,25580,40.5125798,-98.5148588,13806,12690,1116,8.083441981747066
"Hattiesburg, MS Metro Area",172176,6.6,2.5,23.9,55078,31904,25620,31.1540772,-89.2398601,74640,66945,7695,10.309485530546624
"Hays, KS Micro Area",28921,3.3,5.7,13.2,59665,32521,25700,38.915304000000006,-99.31725312947998,13166,11853,1313,9.972656843384476
"Heber, UT Micro Area",77533,2.3,18.5,22.9,114857,46537,25720,40.8320852,-111.1233396,40136,26728,13408,33.406418178194144
"Henderson, NC Micro Area",42492,7.0,8.5,25.3,48340,30567,25780,36.3747423,-78.4140945,19276,17038,2238,11.61029259182403
"Hereford, TX Micro Area",18585,2.1,2.9,17.0,51942,33931,25820,34.9323974,-102.5983118,6974,6263,711,10.195010037281332
"Hermiston-Pendleton, OR Micro Area",92044,6.3,5.0,19.2,69901,36687,25840,45.360901,-119.6052459,35815,32586,3229,9.015775513053187
"Hickory-Lenoir-Morganton, NC Metro Area",366031,5.5,5.5,23.9,57943,36275,25860,35.924738,-81.1716315,163160,147185,15975,9.791002696739396
"Hillsdale, MI Micro Area",45698,4.4,8.5,24.7,59425,34775,25880,41.8779105,-84.5984396,21396,18062,3334,15.582351841465696
"Hinesville, GA Metro Area",82354,7.8,5.4,25.0,55427,33931,25980,31.8031632,-81.483441,32744,28905,3839,11.724285365257757
"Hobbs, NM Micro Area",73103,7.4,3.3,24.5,65855,38890,26020,32.7448727,-103.3828242,27950,25049,2901,10.379248658318426
"Holland, MI Micro Area",120189,3.4,7.4,23.9,75543,41508,26090,42.5867203,-85.8861492,51789,45545,6244,12.056614338952286
"Homosassa Springs, FL Metro Area",155173,7.2,11.0,27.9,52569,32938,26140,28.8512851,-82.5141209,81687,69438,12249,14.995042050754709
"Hood River, OR Micro Area",23965,3.3,15.6,18.4,80254,39066,26220,45.5311636,-121.6475587,10126,8965,1161,11.465534268220424
"Hot Springs, AR Metro Area",100021,5.7,5.5,21.5,54229,31460,26300,34.5488944,-93.1838539,52326,42997,9329,17.82861292665214
"Houghton, MI Micro Area",39502,6.1,8.9,16.1,52857,24207,26340,46.8591287,-88.7774734,20902,15299,5603,26.806047268204
"Hudson, NY Micro Area",61469,5.9,14.0,25.8,81741,41710,26460,42.2415027,-73.6723456,33226,26590,6636,19.972310840907724
"Huntingdon, PA Micro Area",44123,5.1,5.8,30.5,61300,33922,26500,40.3446332,-78.0281185,20807,16804,4003,19.238717739222377
"Huntington, IN Micro Area",36699,3.4,6.2,22.2,59894,37485,26540,40.8008286,-85.5018494,16217,14765,1452,8.953567244249863
"Huntington-Ashland, WV-KY-OH Metro Area",359005,5.3,5.4,23.9,55964,35556,26580,38.3608934,-82.6945926,165754,147207,18547,11.189473557199223
"Huntsville, AL Metro Area",493980,4.2,10.7,22.8,78521,44516,26620,34.8342463,-86.9901321,212512,197135,15377,7.235826682728505
"Huntsville, TX Micro Area",77182,7.0,7.0,26.5,47193,29797,26660,30.6795741,-95.5522823,28632,24568,4064,14.19390891310422
"Huron, SD Micro Area",20925,2.1,6.0,14.2,64167,38249,26700,44.4157764,-98.2751583,9348,8116,1232,13.17928968763372
"Hutchinson, KS Micro Area",61881,4.2,5.8,18.1,57390,34552,26740,37.930344,-98.1055753,28289,25189,3100,10.958323023083178
"Hutchinson, MN Micro Area",36727,3.2,6.9,23.8,73296,44020,26780,44.8169135,-94.2495251,15820,15004,816,5.15802781289507
"Idaho Falls, ID Metro Area",158478,4.1,8.5,21.5,73337,34029,26820,43.3993844,-111.4752257,56637,53326,3311,5.846001730317637
"Indiana, PA Micro Area",83394,6.5,7.2,24.5,57170,29442,26860,40.6424116,-79.1262839,37626,33286,4340,11.534577154095572
"Iowa City, IA Metro Area",175894,3.7,10.4,20.1,72680,34778,26980,41.6683126,-91.57952674093114,75489,70251,5238,6.938759289432897
"Iron Mountain, MI-WI Micro Area",30511,4.1,7.9,16.9,59483,38277,27020,45.9874631,-87.8864905,18518,13721,4797,25.904525326709148
"Ithaca, NY Metro Area",102555,4.7,16.0,20.2,69995,36034,27060,42.445339,-76.47279396502887,46884,42273,4611,9.834911696954183
"Jackson, MI Metro Area",160637,6.3,8.1,22.7,62581,37045,27100,42.2416466,-84.425589,69025,62567,6458,9.356030423759508
"Jackson, MS Metro Area",591397,6.0,6.0,25.1,60085,36741,27140,31.8563532,-90.4798717,257634,230831,26803,10.403518169185745
"Jackson, TN Metro Area",180446,6.6,6.0,22.0,55807,34528,27180,35.4265564,-88.6009817,79252,71713,7539,9.51269368596376
"Jackson, WY-ID Micro Area",35159,1.9,14.1,20.1,102435,45533,27220,43.7647107,-111.2081469,19048,13969,5079,26.664216715665685
"Jacksonville, FL Metro Area",1613587,4.5,12.9,26.3,73194,41483,27260,30.3143459,-82.2847163,690609,628344,62265,9.015955482769556
"Jacksonville, IL Micro Area",37781,5.9,7.9,21.3,62004,37993,27300,39.7062265,-90.190335,17419,15613,1806,10.367988977553248
"Jacksonville, NC Metro Area",203686,6.4,8.3,22.0,59976,31016,27340,34.69271605,-77.38654742430643,84180,69576,14604,17.348538845331433
"Jacksonville, TX Micro Area",50824,5.8,8.8,26.9,56971,30756,27380,31.8390826,-95.1791849,20838,17992,2846,13.657740666090795
"Jamestown, ND Micro Area",21609,4.7,5.1,15.6,59167,36956,27420,46.9596318,-98.9742609,10374,9084,1290,12.434933487565068
"Janesville-Beloit, WI Metro Area",163817,3.9,6.7,23.2,70630,41294,27500,42.6654418,-89.081772,70068,65937,4131,5.895701318718959
"Jasper, IN Micro Area",55811,2.2,3.8,20.2,67610,40394,27540,38.3644324,-86.8870278,24199,22384,1815,7.500309930162404
"Jefferson, GA Micro Area",77033,3.6,11.5,30.7,82056,41455,27600,34.1282559,-83.5753386,27699,26174,1525,5.505613921080183
"Jefferson City, MO Metro Area",150182,3.5,6.3,21.4,70195,38572,27620,38.8491265,-91.9257607,64421,58013,6408,9.947066950218096
"Jesup, GA Micro Area",30277,6.2,3.7,26.8,49847,32269,27700,31.5675304,-81.9131554,12460,11141,1319,10.585874799357946
"Johnson City, TN Metro Area",207442,5.6,7.3,22.0,54217,33699,27740,36.2840805,-82.1194772,97027,87383,9644,9.939501375905676
"Johnstown, PA Metro Area",133263,5.0,7.8,23.9,54221,35619,27780,40.4843583,-78.718852,64395,56370,8025,12.462147682273468
"Jonesboro, AR Metro Area",134035,5.8,4.3,20.2,52709,34127,27860,35.8348413,-90.6441144,57066,52475,4591,8.045070619983878
"Juneau, AK Micro Area",32108,4.5,10.4,16.0,95711,52020,27940,58.3019496,-134.419734,14093,12940,1153,8.181366635918542
"Kalamazoo-Portage, MI Metro Area",261426,6.4,9.3,20.4,67905,37041,28020,42.2494968,-85.5372797,114021,106906,7115,6.2400785820155935
"Kalispell, MT Micro Area",105950,3.2,13.7,19.0,68025,36003,28060,48.3840879,-113.972144,49875,42481,7394,14.825062656641604
"Kankakee, IL Metro Area",107421,5.2,5.9,24.7,65489,37969,28100,41.1253903,-87.848682,45270,41528,3742,8.265959796774906
"Kansas City, MO-KS Metro Area",2190750,4.2,13.0,23.4,78827,45704,28140,38.8837933,-94.8389141,938503,868375,70128,7.472325607909617
"Kapaa, HI Micro Area",73511,4.1,8.6,21.1,88869,40084,28180,22.0557204,-159.4945109,30157,24712,5445,18.055509500281858
"Kearney, NE Micro Area",56758,2.7,4.7,16.7,70727,36228,28260,40.8421618,-99.0845451,23913,22317,1596,6.674193953079914
"Keene, NH Micro Area",76610,3.5,11.1,23.3,76551,41017,28300,42.9525022,-72.2834412,35612,31372,4240,11.90609906772998
"Kendallville, IN Micro Area",47431,3.4,4.7,24.4,70286,41624,28340,41.3990708,-85.4193348,20049,17981,2068,10.314728914160307
"Kennett, MO Micro Area",28174,5.7,4.1,23.0,44868,32246,28380,36.2156534,-90.0591292,13409,11573,1836,13.692296218957416
"Kennewick-Richland, WA Metro Area",304252,5.1,8.8,22.3,82146,42591,28420,46.1691702,-119.5286424,109816,105117,4699,4.2789757412398925
"Kerrville, TX Micro Area",52810,3.3,9.1,21.1,66713,34074,28500,30.045717,-99.3884839,25200,22060,3140,12.46031746031746
"Ketchikan, AK Micro Area",13910,4.1,4.2,14.0,82763,46905,28540,55.489748,-131.011963,6614,5479,1135,17.160568491079527
"Kill Devil Hills, NC Micro Area",37160,5.1,12.4,23.0,79742,38484,28620,35.6333866,-75.6869011,34237,15966,18271,53.36624120103981
"Killeen-Temple, TX Metro Area",477577,7.5,7.7,23.3,63394,34829,28660,31.0081659,-97.4314413,186020,169916,16104,8.65713364154392
"Kingsport-Bristol, TN-VA Metro Area",308386,6.0,7.5,23.5,53644,35286,28700,36.429878,-82.9568899,148388,131113,17275,11.641776963096746
"Kingston, NY Metro Area",182153,5.1,14.2,28.1,77197,43402,28740,41.8689317,-74.2618518,85853,73321,12532,14.597043784142665
"Kingsville, TX Micro Area",30976,7.5,5.5,20.2,52407,30765,28780,27.3983129,-97.7485096,14144,11661,2483,17.55514705882353
"Kinston, NC Micro Area",55071,7.1,2.5,23.6,43063,30679,28820,35.2590371,-77.6484879,26577,22930,3647,13.72239154155849
"Kirksville, MO Micro Area",29365,5.0,5.9,19.0,51618,28874,28860,40.1769782,-92.6161167,13225,11489,1736,13.126654064272213
"Klamath Falls, OR Micro Area",69506,7.6,7.2,16.9,57219,35283,28900,42.6052565,-121.739544,32730,28634,4096,12.514512679498932
"Knoxville, TN Metro Area",884359,4.2,10.1,24.1,66715,38567,28940,36.1063226,-84.1849939,393836,358473,35363,8.979118211641394
"Kokomo, IN Metro Area",83452,5.8,5.5,20.5,62014,36846,29020,40.4787061,-86.1350343,39605,35711,3894,9.832091907587426
"Laconia, NH Micro Area",63914,2.7,10.0,26.0,80719,42595,29060,43.5218848,-71.4530581,38252,27027,11225,29.344870856425807
"La Crosse-Onalaska, WI-MN Metro Area",139042,2.9,8.9,19.6,69043,39726,29100,43.6624222,-91.4685617,61505,58101,3404,5.5345093894805295
"Lafayette, LA Metro Area",479865,6.0,6.7,25.7,58150,38909,29180,30.2740735,-92.3957036,212942,188906,24036,11.28758065576542
"Lafayette-West Lafayette, IN Metro Area",224515,3.5,7.7,19.3,57188,32122,29200,40.6034281,-87.3235164,94722,86517,8205,8.662190409830874
"La Grande, OR Micro Area",26286,6.3,7.2,16.9,61946,34551,29260,45.2680014,-118.0257466,11649,10779,870,7.468452227659027
"LaGrange, GA-AL Micro Area",104139,4.4,4.4,23.1,52767,34517,29300,32.8901658,-85.3866953,45094,40555,4539,10.065640661728834
"Lake Charles, LA Metro Area",216217,5.5,4.5,22.2,64764,37200,29340,30.2232015,-93.3434067,97407,85986,11421,11.725030028642704
"Lake City, FL Micro Area",69832,6.9,6.3,25.3,53501,34992,29380,30.2097438,-82.62636328830749,29775,26424,3351,11.2544080604534
"Lake Havasu City-Kingman, AZ Metro Area",214229,7.5,6.5,21.1,53592,33132,29420,35.7218038,-113.827117,117650,91270,26380,22.422439439014024
"Lakeland-Winter Haven, FL Metro Area",736229,4.6,8.8,29.5,60901,35090,29460,27.9448537,-81.7268789,316381,272418,43963,13.895587914571356
"Lancaster, PA Metro Area",553202,3.4,9.1,23.8,81458,42337,29540,40.08067,-76.2411283,216502,206467,10035,4.635061107980527
"Lansing-East Lansing, MI Metro Area",538985,5.4,11.8,22.4,68270,37302,29620,42.9435238,-84.6125345,235800,219517,16283,6.905428329092452
"Laramie, WY Micro Area",37525,4.4,7.9,14.3,55887,24688,29660,41.6684047,-105.6812633,18494,15993,2501,13.523304855628854
