"Label (Grouping)","Total:","Total:!!Occupied","Total:!!Vacant"
"    Bardstown, KY Micro Area","19,716","18,462","1,254"
"Barnstable Town, MA Metro Area","","",""
"    Barnstable Town, MA Metro Area","164,885","103,368","61,517"
"Barre, VT Micro Area","","",""
"    Barre, VT Micro Area","30,645","25,842","4,803"
"Bartlesville, OK Micro Area","","",""
"    Bartlesville, OK Micro Area","23,713","21,071","2,642"
"Batavia, NY Micro Area","","",""
"    Batavia, NY Micro Area","26,013","24,213","1,800"
"Batesville, AR Micro Area","","",""
"    Batesville, AR Micro Area","26,166","22,290","3,876"
"Baton Rouge, LA Metro Area","","",""
"    Baton Rouge, LA Metro Area","375,423","333,688","41,735"
"Battle Creek, MI Metro Area","","",""
"    Battle Creek, MI Metro Area","59,518","54,406","5,112"
"Bay City, MI Metro Area","","",""
"    Bay City, MI Metro Area","48,562","45,005","3,557"
"Bay City, TX Micro Area","","",""
"    Bay City, TX Micro Area","18,476","13,716","4,760"
"Beatrice, NE Micro Area","","",""
"    Beatrice, NE Micro Area","10,327","9,284","1,043"
"Beaumont-Port Arthur, TX Metro Area","","",""
"    Beaumont-Port Arthur, TX Metro Area","169,646","150,085","19,561"
"Beaver Dam, WI Micro Area","","",""
"    Beaver Dam, WI Micro Area","38,123","35,437","2,686"
"Beckley, WV Metro Area","","",""
"    Beckley, WV Metro Area","53,670","46,767","6,903"
"Bedford, IN Micro Area","","",""
"    Bedford, IN Micro Area","20,484","18,542","1,942"
"Beeville, TX Micro Area","","",""
"    Beeville, TX Micro Area","10,562","8,896","1,666"
"Bellefontaine, OH Micro Area","","",""
"    Bellefontaine, OH Micro Area","23,657","19,062","4,595"
"Bellingham, WA Metro Area","","",""
"    Bellingham, WA Metro Area","100,064","90,123","9,941"
"Bemidji, MN Micro Area","","",""
"    Bemidji, MN Micro Area","21,271","17,678","3,593"
"Bend, OR Metro Area","","",""
"    Bend, OR Metro Area","94,110","80,217","13,893"
"Bennettsville, SC Micro Area","","",""
"    Bennettsville, SC Micro Area","12,029","10,241","1,788"
"Bennington, VT Micro Area","","",""
"    Bennington, VT Micro Area","20,815","15,699","5,116"
"Berlin, NH Micro Area","","",""
"    Berlin, NH Micro Area","20,444","13,908","6,536"
"Big Rapids, MI Micro Area","","",""
"    Big Rapids, MI Micro Area","20,884","16,013","4,871"
"Big Spring, TX Micro Area","","",""
"    Big Spring, TX Micro Area","14,000","11,674","2,326"
"Big Stone Gap, VA Micro Area","","",""
"    Big Stone Gap, VA Micro Area","18,578","16,045","2,533"
"Billings, MT Metro Area","","",""
"    Billings, MT Metro Area","82,822","76,049","6,773"
"Binghamton, NY Metro Area","","",""
"    Binghamton, NY Metro Area","114,356","101,966","12,390"
"Birmingham-Hoover, AL Metro Area","","",""
